primary_identifier,device_type,device_category,gender,district_name,age_group,network_stay,average_monthly_bill_amount,dusage_sum,dusage_min,dusage_max,dusage_avg,dusage_days,dusage_stddev,vusage_onnet_sum,vusage_onnet_max,vusage_onnet_min,vusage_onnet_days,vusage_onnet_avg,vusage_onnet_stddev,vusage_offnet_sum,vusage_offnet_max,vusage_offnet_min,vusage_offnet_days,vusage_offnet_avg,vusage_offnet_stddev,number_of_fixed_bb_accounts,number_of_iptv_accounts,add_on_tot_rental,add_on_count,next_month_plan
6875768,4G,Smartphone,MALE,Kegalle,40-50,219,761.62,6317.0,2.773958206176758,622.685848236084,210.5799392064412,30.0,197.11682221451724,0.0,0.0,0.0,0.0,,0.0,677.0,152.86666666666667,0.0,27.0,25.099382716049384,34.75922091155142,0.0,1.0,,,PKG2
6406277,4G,Smartphone,MALE,Galle,40-50,36,2482.52,28365.0,3.0794382095336914,2569.4291381835938,945.531235408783,30.0,573.2996390534747,0.0,0.0,0.0,0.0,,0.0,76.0,35.43333333333333,0.0,15.0,5.071111111111111,6.779644331889549,0.0,0.0,600.0,2.0,PKG1
3563570,4G,Smartphone,MALE,Kandy,30-40,186,1565.55,18581.0,48.19371318817139,2739.515326499939,619.3788104693095,30.0,619.7504997243449,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,PKG6
1853666,4G,Smartphone,FEMALE,Colombo,40-50,24,2397.49,91071.0,22.43784236907959,7523.355692863464,3035.708609263102,30.0,2174.203126792891,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1110.0,2.0,PKG4
2794331,4G,Smartphone,FEMALE,Kandy,50-60,37,2501.75,19736.0,53.30209159851074,1239.2201700210571,657.889802010854,30.0,329.15251556837404,0.0,0.0,0.0,0.0,,0.0,258.0,87.61666666666666,0.0,23.0,11.256521739130434,16.224070618465337,0.0,1.0,1350.0,2.0,PKG4
3619017,2G,Basic,MALE,Galle,40-50,30,495.54,0.0,0.001530647277832,0.173771858215332,0.0203558286031087,30.0,0.0349645327299888,0.0,0.0,0.0,0.0,,0.0,2.0,1.0666666666666669,0.0,3.0,0.7,0.2334318347097042,0.0,0.0,,,PKG1
7633257,4G,Smartphone,MALE,Kegalle,30-40,35,1977.19,14782.0,205.3942995071411,1001.028832435608,492.73705507914224,30.0,177.2119548104215,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,110.0,1.0,PKG5
5507217,4G,Smartphone,MALE,Gampaha,30-40,170,2925.0,3473.0,6.426328659057617,1132.1095151901245,115.78569812774658,30.0,222.35381526387712,43.0,9.966666666666669,0.0,7.0,6.147619047619048,2.9394950088014844,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,650.0,1.0,PKG5
7566055,4G,Smartphone,MALE,Kalutara,20-30,48,473.59,3870.0,0.0,1180.0327281951904,552.9767368861608,7.0,337.3345029544622,7.0,6.7,0.0,2.0,3.575,1.31341158819313,34.0,22.883333333333333,0.0,3.0,11.338888888888889,4.6612641346885,0.0,0.0,110.0,1.0,PKG2
7324903,4G,Smartphone,MALE,Colombo,20-30,81,1324.6,20876.0,3.4501171112060547,1290.1411762237549,695.8691959063212,30.0,334.77996668738655,7.0,7.4,0.0,1.0,7.4,1.3510489751794097,11.0,6.816666666666666,0.0,6.0,1.9222222222222225,1.3108808811431405,0.0,0.0,360.0,2.0,PKG2
4058040,4G,Smartphone,FEMALE,Kalutara,30-40,64,1612.7,11580.0,49.48397541046143,1105.013388633728,386.0025109608968,30.0,248.07307041958268,0.0,0.0,0.0,0.0,,0.0,27.0,11.416666666666666,0.0,7.0,3.9595238095238097,2.649689793646471,0.0,0.0,740.0,2.0,PKG3
9835417,4G,Smartphone,FEMALE,Kurunegala,30-40,32,0.0,136.0,0.0,100.38593578338624,34.22591233253479,4.0,36.43121241460699,0.0,0.0,0.0,0.0,,0.0,2.0,2.083333333333333,0.0,2.0,1.2833333333333334,0.778115006257406,0.0,0.0,110.0,1.0,PKG1
8104537,4G,Smartphone,MALE,Gampaha,30-40,26,1787.08,10043.0,40.711069107055664,1021.117332458496,334.7956482569377,30.0,225.8108122089854,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,PKG5
6937092,2G,Basic,MALE,Puttalam,40-50,178,496.34,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,14.0,13.566666666666666,0.0,3.0,4.911111111111111,2.5606568592555385,0.0,0.0,,,PKG1
3515441,3G,Smartphone,MALE,Galle,50-60,18,1528.66,1447.0,0.0,199.30517482757568,55.67835147564228,26.0,58.70361419277739,57.0,19.65,0.0,4.0,14.408333333333331,5.559295545993811,21.0,11.05,0.0,5.0,4.273333333333333,2.357697538856302,0.0,0.0,,,PKG1
1254707,4G,Smartphone,FEMALE,Colombo,30-40,94,1826.41,3978.0,1.1251697540283203,836.3529787063599,132.60203475952147,30.0,192.3235874816662,9.0,9.75,0.0,1.0,9.75,1.78009831189179,47.0,21.366666666666667,0.0,11.0,4.3106060606060606,4.407215181690893,0.0,0.0,350.0,1.0,PKG3
5038603,4G,Smartphone,FEMALE,Colombo,30-40,52,352.97,1862.0,2.095556259155273,356.6421251296997,62.08913380304973,30.0,92.77912719405136,0.0,0.0,0.0,0.0,,0.0,7.0,2.816666666666667,0.0,6.0,1.2361111111111112,0.6576266880167093,0.0,0.0,,,PKG2
3037770,2G,Feature phone,MALE,Kalutara,50-60,4,557.74,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,49.0,10.216666666666669,0.0,22.0,2.231060606060606,2.491780948580434,0.0,0.0,,,PKG1
4669431,4G,Smartphone,FEMALE,Gampaha,20-30,57,4721.84,19508.0,205.5651969909668,1417.4387187957764,650.2708010991414,30.0,340.75034049806845,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2550.0,5.0,PKG3
8683145,4G,Smartphone,MALE,Galle,40-50,126,1165.14,325.0,0.0,70.37235450744629,12.03751058931704,27.0,17.202422505207473,0.0,0.0,0.0,0.0,,0.0,59.0,11.7,0.0,15.0,3.9366666666666665,3.2134903321688286,0.0,1.0,,,PKG2
1429480,4G,Smartphone,FEMALE,Gampaha,30-40,92,6277.38,7819.0,4.467769622802734,902.4555759429932,260.6431955655416,30.0,195.9504255092434,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,650.0,2.0,PKG5
3206263,4G,Smartphone,FEMALE,Colombo,>70,207,5597.2,58473.0,124.28871631622314,8897.993314743042,1949.1167348543804,30.0,2445.4615575108096,0.0,0.0,0.0,0.0,,0.0,45.0,7.9,0.0,13.0,3.5307692307692307,2.5369204790929847,0.0,1.0,1200.0,3.0,PKG8
8142089,4G,Smartphone,,Colombo,,32,2913.92,15633.0,4.49138069152832,2711.167993545532,521.1308354377746,30.0,614.7938150784163,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,PKG5
5932612,4G,Smartphone,MALE,Colombo,50-60,131,2758.85,21752.0,317.9396686553955,4058.255435943604,725.0844733874003,30.0,670.8558435601642,0.0,0.0,0.0,0.0,,0.0,29.0,4.633333333333334,0.0,17.0,1.7470588235294118,1.2398754726743584,0.0,0.0,710.0,3.0,PKG4
4149370,4G,Smartphone,MALE,Colombo,60-70,186,815.07,3143.0,0.0,280.9717426300049,112.26138636044094,28.0,83.23419652704835,0.0,0.0,0.0,0.0,,0.0,35.0,7.6,0.0,15.0,2.37,2.092690938477221,0.0,0.0,,,PKG1
8043224,2G,Feature phone,MALE,Jaffna,20-30,121,261.03,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,59.0,12.483333333333333,0.0,21.0,2.8563492063492064,2.91352669357913,0.0,0.0,250.0,2.0,PKG1
2791547,4G,Smartphone,MALE,Ampara,30-40,224,2310.88,18278.0,0.0,1132.6768941879272,652.7872848170144,28.0,253.74413198094703,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,PKG5
4700883,4G,Smartphone,MALE,Kurunegala,30-40,157,2438.19,13805.0,107.5097885131836,2458.856156349182,460.1965302149455,30.0,485.4180100537623,0.0,0.0,0.0,0.0,,0.0,35.0,8.866666666666667,0.0,10.0,3.53,2.432178122888194,0.0,0.0,500.0,1.0,PKG4
1475018,4G,Smartphone,MALE,Gampaha,50-60,164,540.04,7339.0,0.0,1377.1865119934082,253.0917920737431,29.0,396.8270316981554,0.0,0.0,0.0,0.0,,0.0,39.0,19.566666666666663,0.0,10.0,3.9566666666666666,3.727791795829317,0.0,1.0,,,PKG1
3654932,4G,Smartphone,FEMALE,Colombo,60-70,234,2683.86,5695.0,23.478964805603027,477.6083793640137,189.8527883211772,30.0,146.76779238468606,0.0,0.0,0.0,0.0,,0.0,29.0,12.033333333333331,0.0,3.0,9.766666666666667,3.0246642573568066,1.0,0.0,,,PKG5
9537482,4G,Smartphone,FEMALE,Gampaha,40-50,44,1104.98,11783.0,11.020161628723145,1287.1269130706787,392.78071864446,30.0,344.7353685582209,0.0,0.0,0.0,0.0,,0.0,100.0,11.016666666666667,0.0,25.0,4.039333333333333,2.903566585155517,0.0,0.0,200.0,1.0,PKG1
8635750,4G,Smartphone,MALE,Puttalam,40-50,129,3119.85,12748.0,0.0,2875.535161972046,439.6098173733415,29.0,565.5527883834513,0.0,0.3,0.0,1.0,0.3,0.0547722557505166,17.0,7.166666666666667,0.0,3.0,5.694444444444445,1.7811705831369546,0.0,0.0,350.0,1.0,PKG4
8202793,4G,Smartphone,MALE,Colombo,20-30,90,1822.13,13040.0,0.0,1395.453535079956,465.7261618546077,28.0,353.80168276161805,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,PKG5
7457653,4G,Smartphone,MALE,Colombo,30-40,145,3152.29,15604.0,77.39670467376709,3416.349462509156,520.1533205986022,30.0,702.4103744668859,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,560.0,3.0,PKG6
6392194,4G,Smartphone,MALE,Kegalle,40-50,198,3218.07,15061.0,101.27112197875977,2317.127209663391,502.0479743321737,30.0,446.46447008718087,84.0,63.21666666666667,0.0,2.0,42.25,12.05063868516132,13.0,12.316666666666666,0.0,2.0,6.608333333333333,2.2490427224277525,0.0,0.0,650.0,1.0,PKG8
8320068,4G,Smartphone,MALE,Gampaha,40-50,205,3225.47,12760.0,57.41531753540039,766.9261808395386,425.3386099497477,30.0,190.84634547961795,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,500.0,1.0,PKG5
7050237,4G,Smartphone,MALE,Puttalam,40-50,88,2358.87,32636.0,310.87646675109863,1753.636796951294,1087.8855893135071,30.0,439.53929469282167,0.0,0.0,0.0,0.0,,0.0,6.0,3.2666666666666666,0.0,5.0,1.21,0.6339735119018013,1.0,0.0,910.0,3.0,PKG1
1942923,4G,Smartphone,MALE,Colombo,20-30,20,3683.39,44.0,0.0,25.539448738098145,2.9603792826334634,15.0,5.424194659803123,3.0,3.883333333333333,0.0,1.0,3.883333333333333,0.708996421659465,51.0,9.283333333333331,0.0,13.0,3.9987179487179487,2.5722788446553686,0.0,0.0,0.0,1.0,PKG3
9063073,4G,Smartphone,MALE,Colombo,60-70,7,836.86,16513.0,28.185751914978027,1253.4684028625488,550.4484981854756,30.0,301.2019274095854,0.0,0.0,0.0,0.0,,0.0,9.0,8.316666666666666,0.0,2.0,4.55,1.520211217427983,0.0,0.0,1410.0,6.0,PKG1
7712669,4G,Smartphone,FEMALE,Colombo,20-30,66,1818.13,10063.0,2.498575210571289,1205.0622472763062,335.46511290868125,30.0,322.47177846182984,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,PKG5
7689631,3G,Smartphone,MALE,Gampaha,40-50,79,2451.9,0.0,0.0,0.4437217712402344,0.4437217712402344,1.0,0.0853942946902822,0.0,0.0,0.0,0.0,,0.0,177.0,52.8,0.0,26.0,6.825,11.018304506049658,0.0,0.0,350.0,1.0,PKG3
2007165,4G,Smartphone,FEMALE,Colombo,30-40,150,2609.5,910.0,1.4278593063354492,132.17609310150146,30.34384711583456,30.0,32.48118250212824,0.0,0.0,0.0,0.0,,0.0,247.0,103.45,0.0,12.0,20.606944444444444,20.55940261970621,0.0,0.0,100.0,2.0,PKG6
4886863,2G,Basic,FEMALE,Kurunegala,30-40,138,2225.97,6096.0,0.0,1092.3581476211548,508.0225346883138,12.0,327.4044300786867,0.0,0.0,0.0,0.0,,0.0,91.0,14.916666666666666,0.0,21.0,4.359523809523809,4.383062029976383,0.0,0.0,40.0,2.0,PKG3
9691869,4G,Smartphone,MALE,Gampaha,30-40,127,1807.42,5546.0,0.0,2370.5948905944824,191.2501674191705,29.0,420.7154554350776,14.0,8.15,0.0,2.0,7.475,1.9047347237387395,45.0,18.816666666666663,0.0,4.0,11.383333333333333,4.559006355857146,0.0,1.0,50.0,1.0,PKG5
